cohort,draw,alpha,stratum,n_lesions,n_patients,rate,cp_lo,cp_hi,boot_lo,boot_hi
hiba,9,0.15,M3,10,10,0.0,0.0,0.3084971078187608,0.0,0.0
hiba,9,0.15,B,203,69,0.11822660098522167,0.07723794045710586,0.17078933613196534,0.0327756500705503,0.17473961487222958
pad,9,0.05,M1,30,17,0.0,0.0,0.11570330822202779,0.0,0.0
pad,9,0.05,M2,160,112,0.0,0.0,0.022791749455466522,0.0,0.0
pad,9,0.05,M3,83,50,0.0,0.0,0.0434711521664418,0.0,0.0
pad,9,0.05,B,24,22,0.0,0.0,0.14247359772252563,0.0,0.0
pad,9,0.1,M1,30,17,0.0,0.0,0.11570330822202779,0.0,0.0
pad,9,0.1,M2,160,112,0.0,0.0,0.022791749455466522,0.0,0.0
pad,9,0.1,M3,83,50,0.0,0.0,0.0434711521664418,0.0,0.0
pad,9,0.1,B,24,22,0.041666666666666664,0.0010543524454697483,0.2112016834569731,0.0,0.13043478260869565
pad,9,0.15,M1,30,17,0.0,0.0,0.11570330822202779,0.0,0.0
pad,9,0.15,M2,160,112,0.0,0.0,0.022791749455466522,0.0,0.0
pad,9,0.15,M3,83,50,0.0,0.0,0.0434711521664418,0.0,0.0
pad,9,0.15,B,24,22,0.08333333333333333,0.010256341281250152,0.26997280155760356,0.0,0.21308876811594182
hiba,10,0.05,M1,15,8,0.0,0.0,0.218019360910534,0.0,0.0
hiba,10,0.05,M2,119,97,0.0,0.0,0.03052344485379618,0.0,0.0
hiba,10,0.05,M3,12,7,0.0,0.0,0.26464846939705117,0.0,0.0
hiba,10,0.05,B,152,74,0.0,0.0,0.02397682090379162,0.0,0.0
hiba,10,0.1,M1,15,8,0.0,0.0,0.218019360910534,0.0,0.0
hiba,10,0.1,M2,119,97,0.0,0.0,0.03052344485379618,0.0,0.0
hiba,10,0.1,M3,12,7,0.0,0.0,0.26464846939705117,0.0,0.0
hiba,10,0.1,B,152,74,0.019736842105263157,0.004088853323010268,0.05659417398114477,0.0,0.047096706081081074
hiba,10,0.15,M1,15,8,0.0,0.0,0.218019360910534,0.0,0.0
hiba,10,0.15,M2,119,97,0.008403361344537815,0.00021273205826973461,0.04593100044411776,0.0,0.025
hiba,10,0.15,M3,12,7,0.0,0.0,0.26464846939705117,0.0,0.0
