cohort,head,draw,alpha,stratum,degenerate,coverage,miss_rate,referral,set_size,n_test
pad,primary,5,0.1,B,False,1.0,,0.9166666666666666,3.6666666666666665,12
pad,pad_only,5,0.15,M1,False,0.8095238095238095,0.0,1.0,2.380952380952381,42
pad,pad_only,5,0.15,M2,False,0.8218390804597702,0.0,1.0,2.367816091954023,174
pad,pad_only,5,0.15,M3,False,0.896551724137931,0.0,1.0,2.7011494252873565,87
pad,pad_only,5,0.15,B,False,0.8333333333333334,,0.75,2.3333333333333335,12
pad,primary,5,0.15,M1,False,0.9047619047619048,0.0,1.0,3.1904761904761907,42
pad,primary,5,0.15,M2,False,0.8103448275862069,0.0,1.0,2.660919540229885,174
pad,primary,5,0.15,M3,False,0.9425287356321839,0.0,1.0,3.045977011494253,87
pad,primary,5,0.15,B,False,1.0,,0.9166666666666666,3.0,12
hiba,pad_only,5,0.05,M1,False,0.9545454545454546,0.0,1.0,7.181818181818182,22
hiba,pad_only,5,0.05,M2,False,1.0,0.0,1.0,7.353448275862069,116
hiba,pad_only,5,0.05,M3,True,1.0,0.0,1.0,7.5,24
hiba,pad_only,5,0.05,B,False,0.9530201342281879,,1.0,7.248322147651007,149
hiba,primary,5,0.05,M1,False,1.0,0.0,1.0,6.545454545454546,22
hiba,primary,5,0.05,M2,False,0.9913793103448276,0.0,1.0,6.853448275862069,116
hiba,primary,5,0.05,M3,True,1.0,0.0,1.0,7.125,24
hiba,primary,5,0.05,B,False,0.9932885906040269,,1.0,6.530201342281879,149
hiba,pad_only,5,0.1,M1,False,0.9545454545454546,0.0,1.0,6.7272727272727275,22
hiba,pad_only,5,0.1,M2,False,0.9655172413793104,0.0,1.0,6.663793103448276,116
hiba,pad_only,5,0.1,M3,False,1.0,0.0,1.0,7.375,24
hiba,pad_only,5,0.1,B,False,0.9530201342281879,,1.0,6.006711409395973,149
hiba,primary,5,0.1,M1,False,1.0,0.0,1.0,5.318181818181818,22
hiba,primary,5,0.1,M2,False,0.9655172413793104,0.0,1.0,5.172413793103448,116
hiba,primary,5,0.1,M3,False,0.9583333333333334,0.0,1.0,4.958333333333333,24
hiba,primary,5,0.1,B,False,0.9664429530201343,,0.9865771812080537,4.154362416107382,149
hiba,pad_only,5,0.15,M1,False,0.9090909090909091,0.045454545454545456,0.9545454545454546,4.7727272727272725,22
hiba,pad_only,5,0.15,M2,False,0.9224137931034483,0.0,1.0,5.2844827586206895,116
hiba,pad_only,5,0.15,M3,False,0.9166666666666666,0.0,1.0,5.583333333333333,24
hiba,pad_only,5,0.15,B,False,0.912751677852349,,0.9932885906040269,4.483221476510067,149
hiba,primary,5,0.15,M1,False,1.0,0.0,1.0,4.045454545454546,22
hiba,primary,5,0.15,M2,False,0.9310344827586207,0.008620689655172414,0.9913793103448276,4.2844827586206895,116
hiba,primary,5,0.15,M3,False,0.9583333333333334,0.0,1.0,4.541666666666667,24
hiba,primary,5,0.15,B,False,0.9395973154362416,,0.8791946308724832,3.2348993288590604,149
pad,pad_only,6,0.05,M1,False,0.9393939393939394,0.0,1.0,5.696969696969697,33
pad,pad_only,6,0.05,M2,False,0.9452054794520548,0.0,1.0,6.095890410958904,146
pad,pad_only,6,0.05,M3,False,0.9855072463768116,0.0,1.0,6.536231884057971,69
pad,pad_only,6,0.05,B,False,1.0,,1.0,5.388888888888889,18
pad,primary,6,0.05,M1,False,1.0,0.0,1.0,4.484848484848484,33
pad,primary,6,0.05,M2,False,0.9657534246575342,0.0,1.0,4.102739726027397,146
pad,primary,6,0.05,M3,False,0.9855072463768116,0.0,1.0,4.231884057971015,69
pad,primary,6,0.05,B,False,0.9444444444444444,,1.0,3.9444444444444446,18
pad,pad_only,6,0.1,M1,False,0.9393939393939394,0.0,1.0,3.9696969696969697,33
pad,pad_only,6,0.1,M2,False,0.910958904109589,0.0,1.0,4.561643835616438,146
pad,pad_only,6,0.1,M3,False,0.8985507246376812,0.028985507246376812,0.9710144927536232,4.7101449275362315,69
pad,pad_only,6,0.1,B,False,1.0,,1.0,3.888888888888889,18
pad,primary,6,0.1,M1,False,1.0,0.0,1.0,3.8181818181818183,33
pad,primary,6,0.1,M2,False,0.9246575342465754,0.0,1.0,3.2260273972602738,146
pad,primary,6,0.1,M3,False,0.8840579710144928,0.0,1.0,3.1594202898550723,69
pad,primary,6,0.1,B,False,0.9444444444444444,,0.9444444444444444,3.388888888888889,18
pad,pad_only,6,0.15,M1,False,0.9393939393939394,0.0,1.0,2.878787878787879,33
pad,pad_only,6,0.15,M2,False,0.910958904109589,0.0,1.0,2.787671232876712,146
pad,pad_only,6,0.15,M3,False,0.8405797101449275,0.0,1.0,2.8405797101449277,69
pad,pad_only,6,0.15,B,False,1.0,,0.8333333333333334,2.8333333333333335,18
pad,primary,6,0.15,M1,False,1.0,0.0,1.0,3.5757575757575757,33
pad,primary,6,0.15,M2,False,0.8835616438356164,0.0,1.0,2.7945205479452055,146
pad,primary,6,0.15,M3,False,0.855072463768116,0.0,1.0,2.9130434782608696,69
pad,primary,6,0.15,B,False,0.8888888888888888,,0.9444444444444444,3.0555555555555554,18
hiba,pad_only,6,0.05,M1,False,1.0,0.0,1.0,7.75,12
hiba,pad_only,6,0.05,M2,False,0.9487179487179487,0.0,1.0,7.282051282051282,117
