cohort,head,draw,top1,bal_acc,macro_f1,auc_ovr
pad,primary,44,0.6029411764705882,0.5087749287749288,0.3735279189623154,0.8405654588288415
hiba,pad_only,44,0.536,0.37212246466717014,0.32839467760991986,0.7646040027231951
hiba,primary,44,0.656,0.4746072103737777,0.4588153536657207,0.8532921486753153
pad,pad_only,45,0.6524822695035462,0.6633173699587361,0.4839116012328895,0.8884409924358861
pad,primary,45,0.6099290780141844,0.6406659437968736,0.4320567981946113,0.8715355387720539
hiba,pad_only,45,0.4981549815498155,0.3684923344404009,0.34144439832551576,0.7482675349516638
hiba,primary,45,0.5461254612546126,0.4916562033801152,0.4963742885381851,0.8469522247941232
pad,pad_only,46,0.6512455516014235,0.594622697563874,0.41091580924383475,0.8782684707881779
pad,primary,46,0.5800711743772242,0.5851752822341058,0.4051600849208027,0.8502932515625794
hiba,pad_only,46,0.5144508670520231,0.3143667167238749,0.28895169674531695,0.7220415560586648
hiba,primary,46,0.5606936416184971,0.4096039735475877,0.4007486182520672,0.7835022450472646
pad,pad_only,47,0.6774193548387096,0.6213465078003397,0.4524118266681195,0.8749865654336623
pad,primary,47,0.5663082437275986,0.47365941742650447,0.33881403231847873,0.8234872914439363
hiba,pad_only,47,0.5249169435215947,0.3268127234427671,0.31120952467553,0.7415516943531038
hiba,primary,47,0.5382059800664452,0.38887649696717375,0.37736820322903536,0.8340194407978976
pad,pad_only,48,0.6285714285714286,0.5539330693988922,0.3626724137336593,0.8682876113171268
