variant,draw,alpha,modality,n,n_mal,coverage,set_size,miss,release,referral
derm_only_for_mixed,3,0.05,both,93,61,0.989247311827957,5.311827956989247,0.0,0.0,1.0
derm_only_for_mixed,3,0.05,all,330,150,0.9393939393939394,4.733333333333333,0.0,0.044444444444444446,0.9757575757575757
averaged,3,0.1,derm,225,84,0.9066666666666666,3.902222222222222,0.0,0.10638297872340426,0.9333333333333333
averaged,3,0.1,clin,12,5,0.6666666666666666,3.25,0.0,0.0,1.0
averaged,3,0.1,both,93,61,0.8817204301075269,4.204301075268817,0.0,0.0,1.0
averaged,3,0.1,all,330,150,0.8909090909090909,3.963636363636364,0.0,0.08333333333333333,0.9545454545454546
derm_only_for_mixed,3,0.1,derm,225,84,0.8888888888888888,3.3733333333333335,0.0,0.1276595744680851,0.92
derm_only_for_mixed,3,0.1,clin,12,5,0.5,2.75,0.0,0.0,1.0
derm_only_for_mixed,3,0.1,both,93,61,0.9139784946236559,4.118279569892473,0.0,0.0625,0.978494623655914
derm_only_for_mixed,3,0.1,all,330,150,0.8818181818181818,3.5606060606060606,0.0,0.1111111111111111,0.9393939393939394
averaged,3,0.15,derm,225,84,0.8533333333333334,2.902222222222222,0.011904761904761904,0.1702127659574468,0.8888888888888888
averaged,3,0.15,clin,12,5,0.5,2.4166666666666665,0.0,0.0,1.0
averaged,3,0.15,both,93,61,0.8494623655913979,3.2580645161290325,0.01639344262295082,0.0625,0.967741935483871
averaged,3,0.15,all,330,150,0.8393939393939394,2.984848484848485,0.013333333333333334,0.14444444444444443,0.9151515151515152
derm_only_for_mixed,3,0.15,derm,225,84,0.8311111111111111,2.6622222222222223,0.0,0.20567375886524822,0.8711111111111111
derm_only_for_mixed,3,0.15,clin,12,5,0.5,2.5833333333333335,0.0,0.0,1.0
derm_only_for_mixed,3,0.15,both,93,61,0.8279569892473119,3.4193548387096775,0.01639344262295082,0.0625,0.967741935483871
derm_only_for_mixed,3,0.15,all,330,150,0.8181818181818182,2.8727272727272726,0.006666666666666667,0.17222222222222222,0.9030303030303031
averaged,4,0.05,derm,259,90,0.9806949806949807,5.953667953667954,0.0,0.0,1.0
averaged,4,0.05,clin,13,9,0.9230769230769231,5.461538461538462,0.0,0.0,1.0
averaged,4,0.05,both,92,57,0.9456521739130435,5.8478260869565215,0.0,0.0,1.0
averaged,4,0.05,all,364,156,0.9697802197802198,5.90934065934066,0.0,0.0,1.0
derm_only_for_mixed,4,0.05,derm,259,90,0.9613899613899614,4.969111969111969,0.0,0.01775147928994083,0.9884169884169884
derm_only_for_mixed,4,0.05,clin,13,9,0.9230769230769231,4.3076923076923075,0.0,0.0,1.0
derm_only_for_mixed,4,0.05,both,92,57,1.0,5.423913043478261,0.0,0.0,1.0
derm_only_for_mixed,4,0.05,all,364,156,0.9697802197802198,5.06043956043956,0.0,0.014423076923076924,0.9917582417582418
averaged,4,0.1,derm,259,90,0.9459459459459459,4.1698841698841695,0.0,0.08284023668639054,0.9459459459459459
averaged,4,0.1,clin,13,9,0.8461538461538461,3.769230769230769,0.0,0.0,1.0
averaged,4,0.1,both,92,57,0.9130434782608695,4.391304347826087,0.0,0.0,1.0
averaged,4,0.1,all,364,156,0.9340659340659341,4.211538461538462,0.0,0.0673076923076923,0.9615384615384616
derm_only_for_mixed,4,0.1,derm,259,90,0.9343629343629344,3.799227799227799,0.0,0.11242603550295859,0.9266409266409267
derm_only_for_mixed,4,0.1,clin,13,9,0.8461538461538461,3.230769230769231,0.0,0.0,1.0
derm_only_for_mixed,4,0.1,both,92,57,0.9130434782608695,4.25,0.0,0.02857142857142857,0.9891304347826086
