cohort,draw,alpha,group,n_benign,benign_coverage,benign_referral,benign_set_size
hiba,11,0.05,2,96,0.96875,1.0,5.40625
hiba,11,0.05,3,27,0.9629629629629629,1.0,4.481481481481482
hiba,11,0.05,4,22,1.0,1.0,7.409090909090909
hiba,11,0.1,1,17,1.0,0.8823529411764706,2.823529411764706
hiba,11,0.1,2,96,0.9166666666666666,0.9479166666666666,3.71875
hiba,11,0.1,3,27,0.9629629629629629,0.8148148148148148,3.074074074074074
hiba,11,0.1,4,22,1.0,1.0,6.409090909090909
hiba,11,0.15,1,17,1.0,0.8235294117647058,2.4705882352941178
hiba,11,0.15,2,96,0.8645833333333334,0.90625,2.9895833333333335
hiba,11,0.15,3,27,0.9629629629629629,0.5925925925925926,2.1481481481481484
hiba,11,0.15,4,22,0.9545454545454546,1.0,5.681818181818182
pad,11,0.05,1,1,1.0,1.0,5.0
pad,11,0.05,2,7,1.0,1.0,4.285714285714286
pad,11,0.05,3,2,1.0,1.0,4.0
pad,11,0.05,4,5,1.0,1.0,6.0
pad,11,0.05,6,1,1.0,1.0,6.0
pad,11,0.1,1,1,1.0,1.0,5.0
pad,11,0.1,2,7,1.0,0.8571428571428571,3.857142857142857
pad,11,0.1,3,2,1.0,1.0,4.0
pad,11,0.1,4,5,1.0,1.0,6.0
pad,11,0.1,6,1,1.0,1.0,6.0
pad,11,0.15,1,1,1.0,1.0,5.0
pad,11,0.15,2,7,1.0,0.8571428571428571,3.5714285714285716
pad,11,0.15,3,2,1.0,1.0,4.0
pad,11,0.15,4,5,1.0,1.0,2.6
pad,11,0.15,6,1,1.0,1.0,6.0
hiba,12,0.05,1,6,1.0,1.0,6.0
hiba,12,0.05,2,91,0.989010989010989,1.0,5.967032967032967
hiba,12,0.05,3,119,1.0,1.0,4.4789915966386555
hiba,12,0.05,4,2,1.0,1.0,7.0
hiba,12,0.1,1,6,1.0,1.0,4.0
hiba,12,0.1,2,91,0.9120879120879121,1.0,4.384615384615385
hiba,12,0.1,3,119,0.9915966386554622,0.9831932773109243,3.7058823529411766
hiba,12,0.1,4,2,1.0,1.0,6.0
hiba,12,0.15,1,6,1.0,0.8333333333333334,3.3333333333333335
hiba,12,0.15,2,91,0.8791208791208791,0.9340659340659341,3.318681318681319
hiba,12,0.15,3,119,0.9831932773109243,0.7647058823529411,2.546218487394958
hiba,12,0.15,4,2,1.0,1.0,6.0
pad,12,0.05,1,2,1.0,1.0,3.5
pad,12,0.05,2,2,1.0,1.0,3.5
pad,12,0.05,3,3,1.0,1.0,2.3333333333333335
pad,12,0.05,4,2,1.0,1.0,6.0
pad,12,0.1,1,2,1.0,1.0,3.0
pad,12,0.1,2,2,1.0,1.0,3.5
pad,12,0.1,3,3,1.0,1.0,2.3333333333333335
pad,12,0.1,4,2,1.0,1.0,4.5
pad,12,0.15,1,2,0.5,1.0,2.5
pad,12,0.15,2,2,1.0,1.0,3.5
pad,12,0.15,3,3,1.0,0.3333333333333333,1.3333333333333333
pad,12,0.15,4,2,1.0,1.0,4.5
hiba,13,0.05,1,12,1.0,1.0,5.5
hiba,13,0.05,2,75,0.9733333333333334,1.0,6.026666666666666
hiba,13,0.05,3,12,1.0,1.0,6.416666666666667
hiba,13,0.05,4,3,1.0,1.0,7.333333333333333
hiba,13,0.1,1,12,0.9166666666666666,1.0,3.5833333333333335
hiba,13,0.1,2,75,0.8933333333333333,0.9733333333333334,3.64
hiba,13,0.1,3,12,1.0,1.0,4.583333333333333
hiba,13,0.1,4,3,1.0,1.0,6.333333333333333
hiba,13,0.15,1,12,0.8333333333333334,1.0,3.25
hiba,13,0.15,2,75,0.8533333333333334,0.8933333333333333,3.066666666666667
hiba,13,0.15,3,12,0.9166666666666666,1.0,4.0
hiba,13,0.15,4,3,1.0,1.0,6.0
pad,13,0.05,1,3,1.0,1.0,6.333333333333333
pad,13,0.05,2,9,1.0,1.0,6.555555555555555
pad,13,0.05,3,13,1.0,1.0,5.6923076923076925
pad,13,0.05,4,2,1.0,1.0,8.0
pad,13,0.1,1,3,1.0,1.0,4.0
pad,13,0.1,2,9,1.0,1.0,3.7777777777777777
pad,13,0.1,3,13,1.0,0.9230769230769231,2.923076923076923
