cohort,draw,top1,bal_acc,macro_f1,auc_ovr,n
hiba,84,0.5090361445783133,0.37245906983483046,0.35445899954967847,0.777591211061513,332
pad,84,0.5719844357976653,0.546772320910252,0.3577006859473489,0.8433756104174872,257
hiba,85,0.5746031746031746,0.4380385973489787,0.4310711001473363,0.8299586588934411,315
pad,85,0.5648854961832062,0.5614579164999333,0.3741674271674272,0.86383479574206,262
hiba,86,0.6170212765957447,0.37688277127179404,0.38539387442654355,0.8195754416013807,423
pad,86,0.5904059040590406,0.5115779282445948,0.37479453223246434,0.8242763422720549,271
hiba,87,0.4528301886792453,0.38354435634521983,0.39271821553069175,0.785458353842756,318
pad,87,0.6028368794326241,0.48991148415585,0.34170947322882156,0.8383773672159428,282
hiba,88,0.545751633986928,0.4590531030532689,0.4721222425602605,0.8268106933189663,306
pad,88,0.5657894736842105,0.4969994008163876,0.34552543944727476,0.8429600379909689,304
hiba,89,0.5365853658536586,0.42327575778557985,0.41963441513657773,0.8094584004424425,328
pad,89,0.5614617940199336,0.49639940958482504,0.33919231636372876,0.8310017217807394,301
hiba,90,0.5502958579881657,0.464909570662573,0.4595648012097598,0.8523825517006723,338
pad,90,0.5798045602605864,0.5243663414329048,0.36718282947520053,0.8402523375876104,307
hiba,91,0.546448087431694,0.4179702904383814,0.3979406136580633,0.7956790363672572,366
pad,91,0.6209386281588448,0.5487510769560809,0.3933426434699688,0.8460918910442512,277
hiba,92,0.6020408163265306,0.4755610453661737,0.47256653656259573,0.8199957269415213,392
pad,92,0.5376344086021505,0.47311532811720153,0.3292601688435022,0.8141028794286808,279
hiba,93,0.5615615615615616,0.4002657019624672,0.3937064513139714,0.8493810208183806,333
pad,93,0.575,0.5448365934477045,0.3865601963055805,0.8467959018710496,280
hiba,94,0.49050632911392406,0.3953128867366156,0.41082080637899676,0.8120883668476655,316
pad,94,0.5830721003134797,0.5450050731740872,0.3840258313813272,0.8492653992397813,319
hiba,95,0.5085910652920962,0.3967567377174417,0.3944108092332336,0.7608423237664244,291
pad,95,0.5362318840579711,0.4494710173631742,0.31480042980501727,0.8104678071766084,276
hiba,96,0.5098039215686274,0.4142941067173804,0.4119129245371437,0.7976150212990458,306
pad,96,0.5657370517928287,0.5139570480446745,0.3553856191349899,0.8334238957212055,251
hiba,97,0.5971014492753624,0.4412470232700168,0.44374129223267156,0.8363835493422629,345
pad,97,0.571917808219178,0.4886423761423761,0.3557500513243037,0.8433956156539674,292
hiba,98,0.6386554621848739,0.41780303030303034,0.4255625128346752,0.7911494472636981,357
pad,98,0.5513307984790875,0.47171052631578947,0.30345444232849017,0.8305664963093943,263
hiba,99,0.5407407407407407,0.3615007687139186,0.3686959621266605,0.7951795748789334,405
pad,99,0.6167247386759582,0.5812956691005472,0.4255111727917078,0.8617233006669958,287
