cohort,draw,cls,n,f1,auc
hiba,27,SCC,34,0.24561403508771928,0.801450443190975
pad,27,MEL,8,0.7692307692307693,0.9811320754716981
pad,27,NV,9,0.5555555555555556,0.9196127946127947
pad,27,BCC,159,0.697508896797153,0.7835153922542205
pad,27,AK,55,0.49645390070921985,0.7931609674728941
pad,27,BKL,10,0.4444444444444444,0.9437262357414449
pad,27,DF,0,,
pad,27,VASC,0,,
pad,27,SCC,32,0.18181818181818182,0.6439315352697096
hiba,28,MEL,52,0.5054945054945055,0.8556587091069849
hiba,28,NV,116,0.7214611872146118,0.8991773148958516
hiba,28,BCC,71,0.5079365079365079,0.860318938423932
hiba,28,AK,12,0.2,0.8380398671096345
hiba,28,BKL,15,0.2028985507246377,0.7762863534675615
hiba,28,DF,11,0.2,0.6839253461770018
hiba,28,VASC,8,0.6666666666666666,0.9893442622950819
hiba,28,SCC,28,0.20408163265306123,0.8031328320802005
pad,28,MEL,11,0.25,0.900373599003736
pad,28,NV,9,0.5,0.9168556311413454
pad,28,BCC,185,0.7055214723926381,0.7879065506184151
pad,28,AK,67,0.6060606060606061,0.8425562863647863
pad,28,BKL,8,0.3448275862068966,0.8622881355932203
pad,28,DF,0,,
pad,28,VASC,0,,
pad,28,SCC,23,0.07407407407407407,0.6052018633540373
hiba,29,MEL,49,0.5287356321839081,0.8165687640041178
hiba,29,NV,187,0.8066298342541437,0.891113320613764
hiba,29,BCC,55,0.5106382978723404,0.8901950013732491
hiba,29,AK,10,0.18181818181818182,0.7109042553191489
hiba,29,BKL,23,0.26666666666666666,0.7884776619954486
hiba,29,DF,16,0.18181818181818182,0.7285472972972973
hiba,29,VASC,18,0.7142857142857143,0.7836654589371981
hiba,29,SCC,28,0.25,0.852853152434158
pad,29,MEL,11,0.47058823529411764,0.8950798305637016
pad,29,NV,17,0.6666666666666666,0.9398836457659987
pad,29,BCC,164,0.6759581881533101,0.7981029810298103
pad,29,AK,61,0.56,0.8170234089770205
pad,29,BKL,7,0.4444444444444444,0.9409389197375063
pad,29,DF,0,,
pad,29,VASC,0,,
pad,29,SCC,30,0.2028985507246377,0.6535897435897435
hiba,30,MEL,52,0.4948453608247423,0.8254159633469977
hiba,30,NV,182,0.7333333333333333,0.8831327402755974
hiba,30,BCC,58,0.5858585858585859,0.920513385479784
hiba,30,AK,12,0.23529411764705882,0.8498142989786444
hiba,30,BKL,15,0.1590909090909091,0.7558052434456929
hiba,30,DF,13,0.2,0.6916630855178341
hiba,30,VASC,6,0.2857142857142857,0.5954337899543378
hiba,30,SCC,33,0.29850746268656714,0.8213197059350906
pad,30,MEL,8,0.5454545454545454,0.9014505119453925
pad,30,NV,13,0.7857142857142857,0.9941239316239316
pad,30,BCC,177,0.7129337539432177,0.7915299799526152
pad,30,AK,65,0.5657894736842105,0.8353324641460235
