draw,alpha,modality,n,n_mal,coverage,set_size,miss,release,referral
7,0.1,both,76,47,0.8421052631578947,4.302631578947368,0.0,0.0,1.0
7,0.1,all,384,136,0.9322916666666666,3.8854166666666665,0.007352941176470588,0.05241935483870968,0.9635416666666666
7,0.15,derm,293,77,0.931740614334471,3.0409556313993176,0.025974025974025976,0.1574074074074074,0.8771331058020477
7,0.15,clin,15,12,0.6666666666666666,3.0,0.08333333333333333,0.0,0.9333333333333333
7,0.15,both,76,47,0.7894736842105263,3.6184210526315788,0.02127659574468085,0.0,0.9868421052631579
7,0.15,all,384,136,0.8932291666666666,3.1536458333333335,0.029411764705882353,0.13709677419354838,0.9010416666666666
8,0.05,derm,258,73,0.9922480620155039,6.054263565891473,0.0,0.0,1.0
8,0.05,clin,26,19,0.8846153846153846,5.538461538461538,0.0,0.0,1.0
8,0.05,both,80,61,0.9625,5.9875,0.0,0.0,1.0
8,0.05,all,364,153,0.978021978021978,6.002747252747253,0.0,0.0,1.0
8,0.1,derm,258,73,0.9689922480620154,4.317829457364341,0.0273972602739726,0.043243243243243246,0.9612403100775194
8,0.1,clin,26,19,0.8846153846153846,3.8846153846153846,0.0,0.0,1.0
8,0.1,both,80,61,0.95,4.4125,0.0,0.0,1.0
8,0.1,all,364,153,0.9587912087912088,4.3076923076923075,0.013071895424836602,0.037914691943127965,0.9725274725274725
8,0.15,derm,258,73,0.9457364341085271,3.5697674418604652,0.0273972602739726,0.11891891891891893,0.9069767441860465
8,0.15,clin,26,19,0.7692307692307693,3.1538461538461537,0.0,0.0,1.0
8,0.15,both,80,61,0.9125,3.6,0.03278688524590164,0.0,0.975
8,0.15,all,364,153,0.9258241758241759,3.5467032967032965,0.026143790849673203,0.10426540284360189,0.9285714285714286
9,0.05,derm,252,84,0.9761904761904762,6.099206349206349,0.0,0.0,1.0
9,0.05,clin,15,11,1.0,5.8,0.0,0.0,1.0
9,0.05,both,82,51,0.9024390243902439,6.2073170731707314,0.0,0.0,1.0
9,0.05,all,349,146,0.9598853868194842,6.111747851002866,0.0,0.0,1.0
9,0.1,derm,252,84,0.9444444444444444,4.2103174603174605,0.0,0.047619047619047616,0.9682539682539683
9,0.1,clin,15,11,1.0,3.8,0.0,0.0,1.0
9,0.1,both,82,51,0.8048780487804879,4.2073170731707314,0.0,0.0,1.0
9,0.1,all,349,146,0.9140401146131805,4.191977077363897,0.0,0.03940886699507389,0.9770773638968482
9,0.15,derm,252,84,0.9206349206349206,3.5992063492063493,0.0,0.14285714285714285,0.9047619047619048
9,0.15,clin,15,11,0.9333333333333333,3.2666666666666666,0.0,0.0,1.0
9,0.15,both,82,51,0.7804878048780488,3.6097560975609757,0.0196078431372549,0.0,0.9878048780487805
9,0.15,all,349,146,0.8882521489971347,3.5873925501432664,0.00684931506849315,0.11822660098522167,0.9283667621776505
10,0.05,derm,204,76,0.9362745098039216,5.529411764705882,0.0,0.0,1.0
10,0.05,clin,14,8,0.8571428571428571,4.714285714285714,0.0,0.0,1.0
10,0.05,both,80,62,0.8875,5.325,0.0,0.0,1.0
10,0.05,all,298,146,0.9194630872483222,5.436241610738255,0.0,0.0,1.0
10,0.1,derm,204,76,0.9019607843137255,4.186274509803922,0.0,0.0234375,0.9852941176470589
10,0.1,clin,14,8,0.7857142857142857,3.857142857142857,0.0,0.0,1.0
10,0.1,both,80,62,0.8625,4.3875,0.0,0.0,1.0
10,0.1,all,298,146,0.8859060402684564,4.224832214765101,0.0,0.019736842105263157,0.9899328859060402
10,0.15,derm,204,76,0.8676470588235294,3.3088235294117645,0.0,0.0859375,0.946078431372549
10,0.15,clin,14,8,0.6428571428571429,2.9285714285714284,0.0,0.0,1.0
10,0.15,both,80,62,0.825,3.5875,0.016129032258064516,0.0,0.9875
10,0.15,all,298,146,0.8456375838926175,3.365771812080537,0.00684931506849315,0.07236842105263158,0.959731543624161
11,0.05,derm,216,86,0.9953703703703703,5.856481481481482,0.0,0.0,1.0
11,0.05,clin,12,11,0.75,5.75,0.0,0.0,1.0
