cohort,draw,alpha,stratum,n_cal,degenerate,coverage,coverage_pw,miss_rate,referral,referral_pw,set_size,n_test
pad,2,0.1,B,87,False,0.8947368421052632,0.8936781609195401,,0.9078947368421053,0.910919540229885,3.1052631578947367,76
pad,2,0.1,M1,23,False,0.9629629629629629,0.96875,0.0,1.0,1.0,3.4814814814814814,27
pad,2,0.1,M2,135,False,0.9027777777777778,0.9025157232704402,0.0,1.0,1.0,3.3819444444444446,144
pad,2,0.1,M3,64,False,0.92,0.90990990990991,0.0,1.0,1.0,3.26,50
pad,2,0.1,M4,9,False,0.8,0.8,0.0,1.0,1.0,4.0,5
pad,2,0.1,M5,1,True,1.0,1.0,0.0,1.0,1.0,5.0,2
pad,2,0.15,B,87,False,0.8552631578947368,0.8620689655172413,,0.9078947368421053,0.9224137931034483,2.6315789473684212,76
pad,2,0.15,M1,23,False,0.9629629629629629,0.96875,0.0,1.0,1.0,3.111111111111111,27
pad,2,0.15,M2,135,False,0.8194444444444444,0.8209793351302787,0.006944444444444444,0.9930555555555556,0.9952830188679245,2.8680555555555554,144
pad,2,0.15,M3,64,False,0.9,0.9054054054054054,0.0,1.0,1.0,3.02,50
pad,2,0.15,M4,9,False,0.8,0.8,0.0,1.0,1.0,3.6,5
pad,2,0.15,M5,1,True,1.0,1.0,0.0,1.0,1.0,5.0,2
hiba,3,0.05,B,182,False,0.9175257731958762,0.8854166666666666,,1.0,1.0,5.603092783505154,194
hiba,3,0.05,M1,26,False,0.9166666666666666,0.8571428571428571,0.0,1.0,1.0,5.583333333333333,12
hiba,3,0.05,M2,211,False,0.9646017699115044,0.9597701149425287,0.0,1.0,1.0,5.849557522123894,113
hiba,3,0.05,M3,21,False,1.0,1.0,0.0,1.0,1.0,6.454545454545454,11
hiba,3,0.1,B,182,False,0.8711340206185567,0.8085317460317459,,0.9175257731958762,0.9707264957264959,3.7422680412371134,194
hiba,3,0.1,M1,26,False,0.5833333333333334,0.5,0.0,1.0,1.0,3.4166666666666665,12
hiba,3,0.1,M2,211,False,0.9557522123893806,0.9482758620689655,0.0,1.0,1.0,4.610619469026549,113
hiba,3,0.1,M3,21,False,1.0,1.0,0.0,1.0,1.0,4.454545454545454,11
hiba,3,0.15,B,182,False,0.8195876288659794,0.7361052754435108,,0.8865979381443299,0.9448336385836387,2.9742268041237114,194
hiba,3,0.15,M1,26,False,0.5,0.4523809523809524,0.08333333333333333,0.9166666666666666,0.9285714285714286,2.75,12
hiba,3,0.15,M2,211,False,0.9380530973451328,0.9252873563218391,0.0,1.0,1.0,3.752212389380531,113
hiba,3,0.15,M3,21,False,1.0,1.0,0.0,1.0,1.0,3.727272727272727,11
pad,3,0.05,B,99,False,0.9333333333333333,0.9239130434782609,,0.9,0.9094202898550725,3.566666666666667,60
pad,3,0.05,M1,28,False,0.8571428571428571,0.8636363636363636,0.0,1.0,1.0,3.9285714285714284,14
pad,3,0.05,M2,148,False,0.9180327868852459,0.9193548387096774,0.0,1.0,1.0,3.9098360655737703,122
pad,3,0.05,M3,57,False,0.9230769230769231,0.9090909090909091,0.019230769230769232,0.9807692307692307,0.9772727272727273,4.0576923076923075,52
pad,3,0.05,M4,7,True,1.0,1.0,0.0,1.0,1.0,5.25,8
pad,3,0.05,M5,2,True,1.0,1.0,0.0,1.0,1.0,3.0,1
pad,3,0.1,B,99,False,0.9,0.894927536231884,,0.85,0.8586956521739131,2.966666666666667,60
pad,3,0.1,M1,28,False,0.8571428571428571,0.8636363636363636,0.0,1.0,1.0,3.2857142857142856,14
pad,3,0.1,M2,148,False,0.860655737704918,0.8548387096774194,0.01639344262295082,0.9836065573770492,0.9838709677419355,3.0327868852459017,122
pad,3,0.1,M3,57,False,0.9230769230769231,0.9090909090909091,0.019230769230769232,0.9807692307692307,0.9772727272727273,3.519230769230769,52
pad,3,0.1,M4,7,True,1.0,1.0,0.0,1.0,1.0,4.75,8
pad,3,0.1,M5,2,True,1.0,1.0,0.0,1.0,1.0,3.0,1
pad,3,0.15,B,99,False,0.85,0.855072463768116,,0.8333333333333334,0.8478260869565217,2.4833333333333334,60
pad,3,0.15,M1,28,False,0.7142857142857143,0.7272727272727273,0.07142857142857142,0.9285714285714286,0.9545454545454546,2.357142857142857,14
pad,3,0.15,M2,148,False,0.7868852459016393,0.782258064516129,0.01639344262295082,0.9836065573770492,0.978494623655914,2.7295081967213113,122
pad,3,0.15,M3,57,False,0.9038461538461539,0.8863636363636364,0.019230769230769232,0.9807692307692307,0.9772727272727273,3.269230769230769,52
pad,3,0.15,M4,7,False,1.0,1.0,0.0,1.0,1.0,4.25,8
pad,3,0.15,M5,2,True,1.0,1.0,0.0,1.0,1.0,3.0,1
hiba,4,0.05,B,183,False,0.9730941704035875,0.9548192771084337,,1.0,1.0,5.883408071748879,223
hiba,4,0.05,M1,22,False,1.0,1.0,0.0,1.0,1.0,6.157894736842105,19
hiba,4,0.05,M2,218,False,0.9818181818181818,0.9833333333333334,0.0,1.0,1.0,6.418181818181818,110
hiba,4,0.05,M3,20,False,0.9166666666666666,0.9090909090909091,0.0,1.0,1.0,5.833333333333333,12
hiba,4,0.1,B,183,False,0.9327354260089686,0.9102409638554216,,0.9506726457399103,0.9512908777969019,4.089686098654709,223
