cohort,draw,alpha,scheme,miss_cert,miss_all,worst_group_miss,any_group_over,release,release_pw,set_size,coverage,any_enforced_degenerate,n_test,n_mal,n_ben
pad,1,0.2,mondrian,0.0040650406504065045,0.0038461538461538464,0.013333333333333334,False,0.1,0.058823529411764705,2.5607142857142855,0.8107142857142857,False,280,260,20
pad,1,0.2,marginal,0.0,0.0,0.0,False,0.15,0.11764705882352941,2.5285714285714285,0.8,False,280,260,20
pad,1,0.2,softmax,0.052845528455284556,0.05384615384615385,0.06,False,0.65,0.6176470588235294,,,False,280,260,20
pad,1,0.2,temp,0.052845528455284556,0.05384615384615385,0.06,False,0.65,0.6176470588235294,,,False,280,260,20
pad,1,0.25,mondrian,0.0040650406504065045,0.0038461538461538464,0.013333333333333334,False,0.05,0.058823529411764705,2.2285714285714286,0.7357142857142858,False,280,260,20
pad,1,0.25,marginal,0.0,0.0,0.0,False,0.15,0.11764705882352941,2.25,0.75,False,280,260,20
pad,1,0.25,softmax,0.052845528455284556,0.05384615384615385,0.06,False,0.65,0.6176470588235294,,,False,280,260,20
pad,1,0.25,temp,0.052845528455284556,0.05384615384615385,0.06,False,0.65,0.6176470588235294,,,False,280,260,20
pad,1,0.3,mondrian,0.0040650406504065045,0.0038461538461538464,0.013333333333333334,False,0.0,0.0,2.0642857142857145,0.7214285714285714,False,280,260,20
pad,1,0.3,marginal,0.0040650406504065045,0.0038461538461538464,0.013333333333333334,False,0.05,0.058823529411764705,2.0714285714285716,0.7107142857142857,False,280,260,20
pad,1,0.3,softmax,0.052845528455284556,0.05384615384615385,0.06,False,0.65,0.6176470588235294,,,False,280,260,20
