cohort,draw,variant,alpha,group,tau,T,miss,n_mal,release,n_ben
pad,3,softmax,0.05,3,0.4953659012397958,1.0,0.041666666666666664,72.0,,
pad,3,softmax,0.05,4,0.4953659012397958,1.0,0.07692307692307693,13.0,,
pad,3,softmax,0.05,5,0.4953659012397958,1.0,0.0,1.0,,
pad,3,softmax,0.05,0,0.4953659012397958,1.0,,,0.7619047619047619,21.0
pad,3,softmax,0.1,1,0.0,1.0,0.0,26.0,,
pad,3,softmax,0.1,2,0.0,1.0,0.06043956043956044,182.0,,
pad,3,softmax,0.1,3,0.0,1.0,0.041666666666666664,72.0,,
pad,3,softmax,0.1,4,0.0,1.0,0.07692307692307693,13.0,,
pad,3,softmax,0.1,5,0.0,1.0,0.0,1.0,,
pad,3,softmax,0.1,0,0.0,1.0,,,0.7619047619047619,21.0
pad,3,softmax,0.15,1,0.0,1.0,0.0,26.0,,
pad,3,softmax,0.15,2,0.0,1.0,0.06043956043956044,182.0,,
pad,3,softmax,0.15,3,0.0,1.0,0.041666666666666664,72.0,,
pad,3,softmax,0.15,4,0.0,1.0,0.07692307692307693,13.0,,
pad,3,softmax,0.15,5,0.0,1.0,0.0,1.0,,
pad,3,softmax,0.15,0,0.0,1.0,,,0.7619047619047619,21.0
pad,3,temp,0.05,1,0.3372438613960522,4.10691732020482,0.0,26.0,,
pad,3,temp,0.05,2,0.3372438613960522,4.10691732020482,0.06043956043956044,182.0,,
pad,3,temp,0.05,3,0.3372438613960522,4.10691732020482,0.041666666666666664,72.0,,
pad,3,temp,0.05,4,0.3372438613960522,4.10691732020482,0.07692307692307693,13.0,,
pad,3,temp,0.05,5,0.3372438613960522,4.10691732020482,0.0,1.0,,
pad,3,temp,0.05,0,0.3372438613960522,4.10691732020482,,,0.7619047619047619,21.0
pad,3,temp,0.1,1,0.0,4.10691732020482,0.0,26.0,,
pad,3,temp,0.1,2,0.0,4.10691732020482,0.06043956043956044,182.0,,
pad,3,temp,0.1,3,0.0,4.10691732020482,0.041666666666666664,72.0,,
pad,3,temp,0.1,4,0.0,4.10691732020482,0.07692307692307693,13.0,,
pad,3,temp,0.1,5,0.0,4.10691732020482,0.0,1.0,,
pad,3,temp,0.1,0,0.0,4.10691732020482,,,0.7619047619047619,21.0
pad,3,temp,0.15,1,0.0,4.10691732020482,0.0,26.0,,
pad,3,temp,0.15,2,0.0,4.10691732020482,0.06043956043956044,182.0,,
pad,3,temp,0.15,3,0.0,4.10691732020482,0.041666666666666664,72.0,,
pad,3,temp,0.15,4,0.0,4.10691732020482,0.07692307692307693,13.0,,
pad,3,temp,0.15,5,0.0,4.10691732020482,0.0,1.0,,
pad,3,temp,0.15,0,0.0,4.10691732020482,,,0.7619047619047619,21.0
hiba,4,softmax,0.05,1,0.9768202254826834,1.0,0.0,18.0,,
hiba,4,softmax,0.05,2,0.9768202254826834,1.0,0.0703125,128.0,,
hiba,4,softmax,0.05,3,0.9768202254826834,1.0,0.13333333333333333,15.0,,
hiba,4,softmax,0.05,0,0.9768202254826834,1.0,,,0.3141025641025641,156.0
hiba,4,softmax,0.1,1,0.919335079867985,1.0,0.1111111111111111,18.0,,
hiba,4,softmax,0.1,2,0.919335079867985,1.0,0.109375,128.0,,
hiba,4,softmax,0.1,3,0.919335079867985,1.0,0.13333333333333333,15.0,,
hiba,4,softmax,0.1,0,0.919335079867985,1.0,,,0.46794871794871795,156.0
hiba,4,softmax,0.15,1,0.7632905652065421,1.0,0.16666666666666666,18.0,,
hiba,4,softmax,0.15,2,0.7632905652065421,1.0,0.1484375,128.0,,
hiba,4,softmax,0.15,3,0.7632905652065421,1.0,0.2,15.0,,
hiba,4,softmax,0.15,0,0.7632905652065421,1.0,,,0.6346153846153846,156.0
hiba,4,temp,0.05,1,0.48779867011246164,4.87311991849622,0.0,18.0,,
hiba,4,temp,0.05,2,0.48779867011246164,4.87311991849622,0.0625,128.0,,
hiba,4,temp,0.05,3,0.48779867011246164,4.87311991849622,0.0,15.0,,
hiba,4,temp,0.05,0,0.48779867011246164,4.87311991849622,,,0.3782051282051282,156.0
hiba,4,temp,0.1,1,0.381496946802851,4.87311991849622,0.05555555555555555,18.0,,
hiba,4,temp,0.1,2,0.381496946802851,4.87311991849622,0.1015625,128.0,,
hiba,4,temp,0.1,3,0.381496946802851,4.87311991849622,0.13333333333333333,15.0,,
hiba,4,temp,0.1,0,0.381496946802851,4.87311991849622,,,0.6089743589743589,156.0
hiba,4,temp,0.15,1,0.336314450276676,4.87311991849622,0.2222222222222222,18.0,,
hiba,4,temp,0.15,2,0.336314450276676,4.87311991849622,0.140625,128.0,,
hiba,4,temp,0.15,3,0.336314450276676,4.87311991849622,0.2,15.0,,
hiba,4,temp,0.15,0,0.336314450276676,4.87311991849622,,,0.7307692307692307,156.0
pad,4,softmax,0.05,1,0.5686599618437502,1.0,0.0,21.0,,
pad,4,softmax,0.05,2,0.5686599618437502,1.0,0.05263157894736842,152.0,,
pad,4,softmax,0.05,3,0.5686599618437502,1.0,0.06451612903225806,62.0,,
pad,4,softmax,0.05,4,0.5686599618437502,1.0,0.14285714285714285,7.0,,
pad,4,softmax,0.05,5,0.5686599618437502,1.0,0.0,4.0,,
pad,4,softmax,0.05,0,0.5686599618437502,1.0,,,0.5238095238095238,21.0
pad,4,softmax,0.1,1,0.0,1.0,0.0,21.0,,
pad,4,softmax,0.1,2,0.0,1.0,0.05263157894736842,152.0,,
pad,4,softmax,0.1,3,0.0,1.0,0.06451612903225806,62.0,,
